PID,item,similarity,apriori_faktor,aposteriori_faktor,spezifität
1921,BB1_SH1,0.8087720021817734,BB,SH,Global
1922,BB1_SH1,0.8346265610686743,BB,SH,Global
1923,BB1_SH1,0.8323868622372295,BB,SH,Global
1925,BB1_SH1,0.8388727951636881,BB,SH,Global
1926,BB1_SH1,0.743717059874587,BB,SH,Global
1930,BB1_SH1,0.8323017465932505,BB,SH,Global
1936,BB1_SH1,0.8018479039354408,BB,SH,Global
1937,BB1_SH1,0.7964499095407324,BB,SH,Global
1942,BB1_SH1,0.7783325675149508,BB,SH,Global
1943,BB1_SH1,0.8318711091139829,BB,SH,Global
1946,BB1_SH1,0.7750866435390031,BB,SH,Global
1948,BB1_SH1,0.8088822111442341,BB,SH,Global
1950,BB1_SH1,0.8280430136312225,BB,SH,Global
1951,BB1_SH1,0.8112039257704281,BB,SH,Global
1952,BB1_SH1,0.8235450792456493,BB,SH,Global
1955,BB1_SH1,0.8096735172811752,BB,SH,Global
1957,BB1_SH1,0.8133733603852151,BB,SH,Global
1959,BB1_SH1,0.8273335679410343,BB,SH,Global
1961,BB1_SH1,0.80347129696363,BB,SH,Global
1962,BB1_SH1,0.7901681841382707,BB,SH,Global
1964,BB1_SH1,0.7954183402739717,BB,SH,Global
1965,BB1_SH1,0.8015430970736229,BB,SH,Global
1967,BB1_SH1,0.8099481803290197,BB,SH,Global
1968,BB1_SH1,0.8105965437032087,BB,SH,Global
1969,BB1_SH1,0.8220207645580264,BB,SH,Global
1974,BB1_SH1,0.7895169499929731,BB,SH,Global
1975,BB1_SH1,0.7898338536796893,BB,SH,Global
1977,BB1_SH1,0.8086934856837785,BB,SH,Global
1978,BB1_SH1,0.7913264566794965,BB,SH,Global
1981,BB1_SH1,0.8240235323837235,BB,SH,Global
1982,BB1_SH1,0.8171940446948133,BB,SH,Global
1983,BB1_SH1,0.818251425801815,BB,SH,Global
1991,BB1_SH1,0.8552319350649122,BB,SH,Global
1992,BB1_SH1,0.8228064105787641,BB,SH,Global
1993,BB1_SH1,0.8268004833603544,BB,SH,Global
1998,BB1_SH1,0.7886380155006564,BB,SH,Global
1999,BB1_SH1,0.7966871189696431,BB,SH,Global
