PID,item,similarity,apriori_faktor,aposteriori_faktor
1868,BB1_SH1,0.5398384788851466,BB,SH
1869,BB1_SH1,0.49225038646471103,BB,SH
1870,BB1_SH1,0.4730636233106718,BB,SH
1871,BB1_SH1,0.512598765982273,BB,SH
1881,BB1_SH1,0.5210636363531435,BB,SH
1888,BB1_SH1,0.499508726524419,BB,SH
1889,BB1_SH1,0.562148319360724,BB,SH
1892,BB1_SH1,0.5777533184472492,BB,SH
1900,BB1_SH1,0.5891414171655257,BB,SH
1904,BB1_SH1,0.5025402524027354,BB,SH
1905,BB1_SH1,0.4963334259442333,BB,SH
1907,BB1_SH1,0.5838758145842309,BB,SH
1908,BB1_SH1,0.6390296254209629,BB,SH
1909,BB1_SH1,0.5795694455551086,BB,SH
1910,BB1_SH1,0.5415011698015496,BB,SH
1914,BB1_SH1,0.5179613904268245,BB,SH
1919,BB1_SH1,0.5802962384003741,BB,SH
1921,BB1_SH1,0.6319433580844698,BB,SH
1922,BB1_SH1,0.5035432307454414,BB,SH
1923,BB1_SH1,0.5876862151196921,BB,SH
1925,BB1_SH1,0.6974793791136413,BB,SH
1926,BB1_SH1,0.36100863036094166,BB,SH
1930,BB1_SH1,0.5456895241903911,BB,SH
1936,BB1_SH1,0.4170087961774333,BB,SH
1937,BB1_SH1,0.4176975518501952,BB,SH
1942,BB1_SH1,0.48681918199415886,BB,SH
1943,BB1_SH1,0.5849511280686144,BB,SH
1946,BB1_SH1,0.4842844560664478,BB,SH
1948,BB1_SH1,0.6516021068979606,BB,SH
1950,BB1_SH1,0.5680118493022668,BB,SH
1951,BB1_SH1,0.5562296287751292,BB,SH
1952,BB1_SH1,0.4944992227375199,BB,SH
1955,BB1_SH1,0.4643550109927849,BB,SH
1957,BB1_SH1,0.6301319793903696,BB,SH
1959,BB1_SH1,0.544701283975592,BB,SH
1961,BB1_SH1,0.49945765916716234,BB,SH
1962,BB1_SH1,0.508339287300771,BB,SH
1964,BB1_SH1,0.4946577187925427,BB,SH
1965,BB1_SH1,0.49580599300057054,BB,SH
1967,BB1_SH1,0.4695618548192624,BB,SH
1968,BB1_SH1,0.49149199158934564,BB,SH
1969,BB1_SH1,0.5715943629515098,BB,SH
1974,BB1_SH1,0.5291689098521589,BB,SH
1975,BB1_SH1,0.3106531776573844,BB,SH
1977,BB1_SH1,0.5837886503724596,BB,SH
1978,BB1_SH1,0.35013951928075493,BB,SH
1981,BB1_SH1,0.5792609369074324,BB,SH
1982,BB1_SH1,0.5257028873719011,BB,SH
1983,BB1_SH1,0.5386241316198228,BB,SH
1991,BB1_SH1,0.5145361427198286,BB,SH
1992,BB1_SH1,0.5463990033315825,BB,SH
1993,BB1_SH1,0.5493791723977328,BB,SH
1998,BB1_SH1,0.35989358643253455,BB,SH
1999,BB1_SH1,0.5356575949964199,BB,SH
2004,BB1_SH1,0.5366496815340869,BB,SH
2007,BB1_SH1,0.5085208678085354,BB,SH
2011,BB1_SH1,0.4111625998004297,BB,SH
2017,BB1_SH1,0.7077229850580115,BB,SH
2020,BB1_SH1,0.43306726159295605,BB,SH
2023,BB1_SH1,0.4210440297637242,BB,SH
2025,BB1_SH1,0.5340300473039903,BB,SH
2034,BB1_SH1,0.5068558100001056,BB,SH
2035,BB1_SH1,0.5459457546682144,BB,SH
2036,BB1_SH1,0.5889386459655567,BB,SH
2037,BB1_SH1,0.3932512757408803,BB,SH
2043,BB1_SH1,0.6128112254970903,BB,SH
2044,BB1_SH1,0.5697953665842751,BB,SH
2045,BB1_SH1,0.43815822270963733,BB,SH
2047,BB1_SH1,0.3177429997472899,BB,SH
2051,BB1_SH1,0.6035685905255274,BB,SH
2052,BB1_SH1,0.37023534224446136,BB,SH
2053,BB1_SH1,0.5532909937681316,BB,SH
2057,BB1_SH1,0.4586864737573965,BB,SH
2058,BB1_SH1,0.43214281341767663,BB,SH
2059,BB1_SH1,0.5695890900883867,BB,SH
702,BB1_SH1,0.6280341589851127,BB,SH
703,BB1_SH1,0.6036933236631987,BB,SH
706,BB1_SH1,0.481225829821081,BB,SH
713,BB1_SH1,0.5219343119925494,BB,SH
717,BB1_SH1,0.535240671231166,BB,SH
718,BB1_SH1,0.3256843074298286,BB,SH
719,BB1_SH1,0.4189816075452903,BB,SH
720,BB1_SH1,0.46402502997699424,BB,SH
721,BB1_SH1,0.6180219080266791,BB,SH
723,BB1_SH1,0.5013834825699788,BB,SH
725,BB1_SH1,0.5247577250468924,BB,SH
726,BB1_SH1,0.5247577250468924,BB,SH
728,BB1_SH1,0.6143351331860326,BB,SH
729,BB1_SH1,0.5786284703226355,BB,SH
732,BB1_SH1,0.499384584430085,BB,SH
737,BB1_SH1,0.3850567954546487,BB,SH
739,BB1_SH1,0.5567468799077139,BB,SH
741,BB1_SH1,0.4957177475176332,BB,SH
747,BB1_SH1,0.6817943273257046,BB,SH
748,BB1_SH1,0.45204136462927996,BB,SH
750,BB1_SH1,0.36199117585296725,BB,SH
751,BB1_SH1,0.4823866386659282,BB,SH
753,BB1_SH1,0.3153619802555048,BB,SH
754,BB1_SH1,0.42231184117346743,BB,SH
759,BB1_SH1,0.6312816387113322,BB,SH
760,BB1_SH1,0.45516535323999546,BB,SH
762,BB1_SH1,0.47085584660023033,BB,SH
764,BB1_SH1,0.48886348885474634,BB,SH
765,BB1_SH1,0.5364123290524492,BB,SH
771,BB1_SH1,0.6000116988342425,BB,SH
775,BB1_SH1,0.5520231385163772,BB,SH
781,BB1_SH1,0.5561336255431654,BB,SH
782,BB1_SH1,0.6309756560815131,BB,SH
784,BB1_SH1,0.5069158531298674,BB,SH
785,BB1_SH1,0.5420419600615344,BB,SH
787,BB1_SH1,0.4262869503153045,BB,SH
788,BB1_SH1,0.5091391263605071,BB,SH
790,BB1_SH1,0.41130159397293536,BB,SH
792,BB1_SH1,0.525057551805274,BB,SH
793,BB1_SH1,0.5625654792187249,BB,SH
796,BB1_SH1,0.4939850168972186,BB,SH
799,BB1_SH1,0.584109461818151,BB,SH
802,BB1_SH1,0.610366772036718,BB,SH
803,BB1_SH1,0.5247809598294471,BB,SH
813,BB1_SH1,0.4708345212235806,BB,SH
817,BB1_SH1,0.532222253113471,BB,SH
818,BB1_SH1,0.4842768936415884,BB,SH
820,BB1_SH1,0.5826976275079246,BB,SH
821,BB1_SH1,0.4337412582899561,BB,SH
824,BB1_SH1,0.5513524905555763,BB,SH
825,BB1_SH1,0.5762292882937877,BB,SH
827,BB1_SH1,0.5157517096570305,BB,SH
830,BB1_SH1,0.3525731275482329,BB,SH
831,BB1_SH1,0.7354747425346244,BB,SH
833,BB1_SH1,0.5738550236985465,BB,SH
834,BB1_SH1,0.5409650253699303,BB,SH
835,BB1_SH1,0.396361334613848,BB,SH
840,BB1_SH1,0.3553448332440411,BB,SH
841,BB1_SH1,0.5784678857037532,BB,SH
847,BB1_SH1,0.5128007279777136,BB,SH
849,BB1_SH1,0.5661733436430866,BB,SH
856,BB1_SH1,0.6235366336095417,BB,SH
860,BB1_SH1,0.4959403379498131,BB,SH
861,BB1_SH1,0.5215393856633501,BB,SH
863,BB1_SH1,0.5291421451196826,BB,SH
869,BB1_SH1,0.5657118496323124,BB,SH
871,BB1_SH1,0.5610342319377711,BB,SH
872,BB1_SH1,0.5463906661778257,BB,SH
881,BB1_SH1,0.4186973724453189,BB,SH
888,BB1_SH1,0.5097319424328272,BB,SH
889,BB1_SH1,0.5442448105329406,BB,SH
894,BB1_SH1,0.49837190350124105,BB,SH
895,BB1_SH1,0.5343310396960065,BB,SH
896,BB1_SH1,0.656431442972196,BB,SH
900,BB1_SH1,0.40298460518705304,BB,SH
902,BB1_SH1,0.5917536601903618,BB,SH
916,BB1_SH1,0.5910894730929374,BB,SH
917,BB1_SH1,0.5586037593413471,BB,SH
918,BB1_SH1,0.4661267287526862,BB,SH
920,BB1_SH1,0.7110167047851552,BB,SH
921,BB1_SH1,0.4779923615902894,BB,SH
922,BB1_SH1,0.5519201267807713,BB,SH
924,BB1_SH1,0.5864196646534022,BB,SH
925,BB1_SH1,0.4811009335529458,BB,SH
926,BB1_SH1,0.5561735293120122,BB,SH
929,BB1_SH1,0.5405806998024542,BB,SH
932,BB1_SH1,0.4391165096479121,BB,SH
933,BB1_SH1,0.3854029879315215,BB,SH
934,BB1_SH1,0.40807993977931756,BB,SH
936,BB1_SH1,0.5590879092847666,BB,SH
938,BB1_SH1,0.524279351265619,BB,SH
939,BB1_SH1,0.5734104906270533,BB,SH
940,BB1_SH1,0.5446506018147186,BB,SH
941,BB1_SH1,0.4299346377586539,BB,SH
943,BB1_SH1,0.417833648735719,BB,SH
944,BB1_SH1,0.5241829722441096,BB,SH
945,BB1_SH1,0.5412768572264826,BB,SH
946,BB1_SH1,0.5360876505694441,BB,SH
947,BB1_SH1,0.5631611652483872,BB,SH
948,BB1_SH1,0.54499203906109,BB,SH
949,BB1_SH1,0.48797892572082885,BB,SH
954,BB1_SH1,0.45295482227014233,BB,SH
1593,BB1_SH1,0.4286585916336997,BB,SH
1594,BB1_SH1,0.586816224803606,BB,SH
1598,BB1_SH1,0.5925418904745309,BB,SH
1600,BB1_SH1,0.6749887451631059,BB,SH
1602,BB1_SH1,0.5264694830786456,BB,SH
1603,BB1_SH1,0.44870364561602505,BB,SH
1604,BB1_SH1,0.5677319072694028,BB,SH
1606,BB1_SH1,0.5323109603343693,BB,SH
1607,BB1_SH1,0.44385891127420396,BB,SH
1608,BB1_SH1,0.6090107055426894,BB,SH
1611,BB1_SH1,0.360459486870104,BB,SH
1615,BB1_SH1,0.5337423718679156,BB,SH
1616,BB1_SH1,0.6533969299194773,BB,SH
1618,BB1_SH1,0.6168687698576895,BB,SH
